Edna,Taylor
Harold,Simon
Genevieve,Luna
Lily,Mack
Victoria,Dean
Wesley,Thornton
Tillie,Sanders
Derrick,Santos
Nelle,Mullins
Cynthia,Howard
Sue,Wong
Margaret,Pratt
Nathan,Potter
Trevor,Hall
Leon,Ramsey
Willie,Doyle
Lenora,Romero
Logan,Ortiz
Jackson,Ray
James,McBride
Ollie,Cook
Frank,Valdez
Theresa,Love
Donald,Goodwin
Bill,Lucas
Matthew,Banks
Lillie,Diaz
Mae,Glover
Adeline,Bennett
Jim,Figueroa
Jose,Black
Travis,Dennis
Jose,Scott
Brian,Hunter
Beulah,Barrett
Brandon,Cohen
Cody,Welch
Eleanor,Yates
Grace,Porter
Logan,Martin
Lulu,Williams
Christopher,Rios
Oscar,Bailey
William,Ortega
Madge,Tucker
Caleb,Klein
Micheal,Medina
Kevin,Holt
Maggie,Miles
Cody,Robertson
Hannah,Matthews
Clyde,Lyons
Wayne,Chavez
Elizabeth,Vaughn
Tillie,Douglas
Sylvia,Jennings
Lela,Ford
Abbie,Bowers
Eleanor,Williamson
Kenneth,Lindsey
Arthur,Obrien
Lula,Sharp
Louis,Simon
Vincent,Castillo
Sean,Castro
Elmer,Chandler
Dean,Glover
Janie,Swanson
Virginia,Wood
Betty,Hogan
Isabelle,Lawson
Patrick,Burton
Cordelia,Todd
Kathryn,Leonard
Caroline,Wise
Tillie,Poole
Jeremiah,McGuire
Austin,Barnes
Julian,Daniel
Verna,Sutton
Bobby,Thompson
Lloyd,King
Jared,Tyler
Genevieve,Gross
Trevor,Chandler
Micheal,Harper
Bernard,Fitzgerald
Virgie,Hawkins
Stephen,Turner
Lois,McGuire
Flora,Rodriquez
Nannie,Stokes
Beulah,Fox
Isabelle,Martinez
Walter,Logan
Dollie,Campbell
Jeffery,Wise
Albert,Evans
Chad,Wood
Rodney,Sherman
Carolyn,Fox
Bill,Dunn
Luke,George
Lenora,Boone
Jeffery,Mack
Angel,Vaughn
Myra,Sutton
Maud,Pope
Adelaide,Figueroa
Anthony,Hall
Roger,Delgado
Effie,Wilkins
Tyler,Dennis
Sallie,Bowers
Lucile,Rice
Herbert,Hudson
Joseph,Weber
Vera,Bowen
Troy,Luna
Nannie,French
Lloyd,Washington
Clara,Kennedy
Ryan,Zimmerman
Steve,Pittman
Myra,Stephens
Laura,Jimenez
Tyler,Roberts
Eleanor,Turner
Lee,Mendoza
Celia,May
Billy,Cobb
Gregory,Lopez
Janie,Rodgers
Jonathan,Harvey
Kyle,Stewart
Herman,Drake
Norman,Hanson
Linnie,Manning
Antonio,Walton
Charlie,Briggs
Sam,Sullivan
Mildred,Oliver
Josie,Newton
Rosetta,Benson
Dollie,Morgan
Mittie,Lane
Blanche,Graham
Lola,Nichols
Anthony,Meyer
Bryan,Alvarado
Belle,Lawrence
Aaron,Abbott
Anthony,Carroll
Lillian,Hardy
Augusta,Frank
Birdie,Boone
Hunter,Boone
Alma,Ramsey
Bertie,Evans
Mario,Watson
